id,name,symbol,slug,is_active,rank,status,platform,token_address
3726,Bidooh DOOH Token,DOOH,bidooh-dooh-token,0,null,untracked,1027,0x18c525cce3ad9a48d82f91b874754be78e9d0f85
3727,Flowchain,FLC,flowchain,1,888,active,1027,0x32C4ADB9cF57f972bc375129de91C897b4F364F1
3728,Halo Platform,HALO,halo-platform,1,1025,active,,
3729,WOLLO,WLO,wollo,1,1624,active,512,GBIL5TOVTZFNV3XS3E2LWTKU5SYOJ3UBCVBSKAMP4EE4MV2VSZQK7NRZ
3730,The Currency Analytics,TCAT,the-currency-analytics,1,1519,active,1027,0xaff84e86d72edb971341a6a66eb2da209446fa14
3731,PlayChip,PLA,playchip,1,545,active,1027,0x0198f46f520F33cd4329bd4bE380a25a90536CD5
3732,Conceal,CCX,conceal,1,962,active,,
3733,S4FE,S4F,s4fe,1,266,active,1027,0xaec7d1069e3a914a3eb50f0bfb1796751f2ce48a
3734,Elamachain,ELAMA,elamachain,1,244,active,1027,0xfb444c1f2b718ddfc385cb8fd9f2d1d776b24668
3735,VegaWallet Token,VGW,vegawallet-token,1,1243,active,1027,0x94236591125e935f5ac128bb3d5062944c24958c
3736,Marginless,MRS,marginless,0,null,untracked,1027,0x1254e59712e6e727dc71e0e3121ae952b2c4c3b6
3737,BTU Protocol,BTU,btu-protocol,1,260,active,1027,0xb683d83a532e2cb7dfa5275eed3698436371cc9f
3738,Decentralized Crypto Token,DCTO,decentralized-crypto-token,1,2067,active,1027,0x9ccbd05d4d25c745d49f5e6bf17e09113eb4c769
3739,Constant,CONST,constant,1,846,active,1027,0x4983f767b1bc44328e434729ddabea0a064ca1ac
3740,Blacer Coin,BLCR,blacer-coin,0,null,untracked,,
3741,EurocoinToken,ECTE,eurocoin-token,1,1399,active,1027,0xe9fa21e671bcfb04e6868784b89c19d5aa2424ea
3742,Chimpion,BNANA,chimpion,1,324,active,1027,0x07ef9e82721ac16809d24dafbe1792ce01654db4
3743,QUSD,QUSD,qusd,1,2818,active,1027,0xd6875274b000462f59e9327cbde2cef637914569
3744,WEBN token,WEBN,webn-token,1,2675,active,1027,0x15a664416e42766a6cc0a1221d9c088548a6e731
3745,BiNGO.Fun,777,bingo-fun,1,3051,active,1027,0xd8002cd05d5b2a85557e1caaa179cc2408d5ad42
3746,Electrum Dark,ELD,electrum-dark-eld,1,2062,active,1027,0x796e47b85a0d759f300f1de96a3583004235d4d8
3747,Aunite,AUNIT,aunite,1,2819,active,,
3748,Hxro,HXRO,hxro,1,274,active,1027,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3
3749,IceChain,ICHX,icechain,0,null,untracked,1027,0xa573661b5fb2063d7ab12336ee24589f7a79fdab
3750,eXPerience Chain,XPC,experience-chain,1,1547,active,,
3751,Stakinglab,LABX,stakinglab,1,2041,active,,
3752,uPlexa,UPX,uplexa,1,1258,active,,
3753,PlatonCoin,PLTC,platoncoin,1,927,active,1027,0x429D83Bb0DCB8cdd5311e34680ADC8B12070a07f
3754,EveryCoin ,EVY,everycoin,1,408,active,1027,0xeed3ae7b0f8b5b9bb8c035a9941382b1822671cd
3755,Moneynet,MNC,moneynet,1,1463,active,1027,0xbac7a1798350cdf2dbfe0c210c2c9861223f4b31
3756,#MetaHash,MHC,metahash,1,502,active,,
3757,GMB,GMB,gmb,1,1456,active,1027,0x1d464ac5e046e5fe280c9588edf8eb681b07008f
3758,Max Property Group,MPG,max-property-group,1,1269,active,1320,
3759,Jinbi Token,JNB,jinbi-token,1,2519,active,1027,0x21d5a14e625d767ce6b7a167491c2d18e0785fda
3760,Scanetchain,SWC,scanetchain,1,1544,active,1027,0xadf8b8050639b6236915f7516d69de714672f0bf
3761,DISCIPLINA,DSCP,disciplina,0,null,untracked,1027,0x03e3f0c25965f13dbbc58246738c183e27b26a56
3762,1SG,1SG,1sg,1,495,active,1027,0x0f72714b35a366285df85886a2ee174601292a17
3763,ODUWA,OWC,oduwa,1,1048,active,,
3764,Save Environment Token,SET,save-environment-token,1,1953,active,1027,0x0a2d9370cf74da3fd3df5d764e394ca8205c50b6
3765,Serve,SERV,serve,0,null,inactive,1027,0xe1F4328DEF6AE4aE2EEAc62D58BaEaEcF05E8d30
3766,Fatcoin,FAT,fatcoin,1,936,active,1027,0x2ec95b8eda549b79a1248335a39d299d00ed314c
3767,1X2 COIN,1X2,1x2-coin,1,1651,active,,
3768,PIBBLE,PIB,pibble,1,824,active,1027,0x1864ce27e9f7517047933caae530674e8c70b8a7
3769,HashBX ,HBX,hashsbx,1,1042,active,1027,0x6fe355c62c6faf6946ce888ffaba9fd12355ae27
3770,CustomContractNetwork,CCN,customcontractnetwork,1,1929,active,1027,0x17b26400621695c2d8c2d8869f6259e82d7544c4
3771,EthereumX,ETX,ethereumx,1,1913,active,512,GCEFMSNWXTALXQPRQFIXOMWJHZFDEQJBM26RGEDZUDFMU32JB6WJGRJX
3772,STEM CELL COIN,SCC,stem-cell-coin,1,243,active,1376,323571cfc42a40d48d64832a7da594039fbac76a
3773,Fetch.ai,FET,fetch,1,119,active,1027,0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd
3774,Maincoin,MNC,maincoin,1,838,active,1027,0x9f0f1be08591ab7d990faf910b38ed5d60e4d5bf
3775,win.win,TWINS,win-win,0,null,untracked,,
3776,GoldFund,GFUN,goldfund,1,1499,active,1027,0x919d3a363776b1ceec9352610c82dfaf80edc32d
3777,Spectrum,SPT,spectrum,1,1914,active,1027,0x01cc4151fe5f00efb8df2f90ff833725d3a482a3
3778,EVOS,EVOS,evos,1,1908,active,,
3779,CoTrader,COT,cotrader,1,588,active,1027,0x5c872500c00565505f3624ab435c222e558e9ff8
3780,Sparkle,SPRKL,sparkle,1,2200,active,1027,0x4b7ad3a56810032782afce12d7d27122bdb96eff
3781,Alphaslot,SLOT,alphaslot,0,null,inactive,1027,0xaee7474c3713ece228aa5ec43c89c708f2ec7ed2
3782,ONOToken,ONOT,onotoken,1,1289,active,1027,0xb31c219959e06f9afbeb36b388a4bad13e802725
3783,Ankr,ANKR,ankr,1,121,active,1839,ANKR-E97
3784,OVCODE,OVC,ovcode,1,1392,active,1027,0x49d09cda1deb8a1680f1270c5ed15218fc4b18f0
3785,AIDUS TOKEN,AIDUS,aidus-token,1,1067,active,1027,0xa957045a12d270e2ee0dca9a3340c340e05d4670
3786,Lunes,LUNES,lunes,1,1108,active,,
3787,Innovative Bioresearch Classic,INNBCL,innovative-bioresearch-classic,1,1508,active,1027,0x0Cc9FCCFF81252F4bd8C5c6b359B14ae2Ed851cf
3788,NEXT,NET,next,1,379,active,1027,0xF29226914595052a04F5AFbe6410D0C3eD707548
3789,Boltt Coin ,BOLTT,boltt-coin,1,2827,active,1027,0x688478f003b8d0f10b8af2122bf20378555ef958
3790,RoboCalls,RC20,robocalls,1,2938,active,1027,0x61b2d3ea9f1c6b387c985c73d40e8fbfb284e5c7
3791,Jewel,JWL,jewel,1,368,active,1027,0x8275ebf521dc217aa79c88132017a5bcef001dd9
3792,ARAW,ARAW,araw,1,1833,active,1027,0x30680ac0a8a993088223925265fd7a76beb87e7f
3793,Galilel,GALI,galilel,1,1884,active,,
3794,Cosmos,ATOM,cosmos,1,18,active,,
3795,ZEON,ZEON,zeon,1,409,active,1027,0xe5b826ca2ca02f09c1725e9bd98d9a8874c30532
3796,MESG,MESG,mesg,1,1898,active,1027,0x420167d87d35c3a249b32ef6225872fbd9ab85d2
3797,Bitex Global XBX Coin,XBX,bitex-global-xbx-coin,1,804,active,1027,0x57C09A8de0b0F471F8567609777aDdFfb5c46a08
3798,Xuez,XUEZ,xuez,1,1796,active,,
3799,SafeCoin,SAFE,safecoin,1,1060,active,,
3800,FidexToken,FEX,fidex-token,1,1927,active,1027,0x1c1c14a6b5074905ce5d367b0a7e098b58ebfd47
3801,BORA,BORA,bora,1,292,active,1027,0x26fb86579e371c7aedc461b2ddef0a8628c93d3b
3802,Cryptoinvest,CTT,cryptoinvest,0,null,untracked,,
3803,Diruna,DRA,diruna,0,null,untracked,512,
3804,SpectrumNetwork,SPEC,spectrum-network,0,null,untracked,1027,0x259059f137cb9b8f60ae27bd199d97abb69e539b
3805,BoatPilot Token,NAVY,boat-pilot-token,1,1611,active,1027,0xc15a399c4ea7815fe36857c9e290ee452a5d6b21
3806,TigerCash,TCH,tigercash,1,1381,active,1027,0x9b39a0b97319a9bd5fed217c1db7b030453bac91
3807,LitecoinToken,LTK,litecoin-token,1,2116,active,1027,0x8a732bc91c33c167f868e0af7e6f31e0776d0f71
3808,Cointorox,OROX,cointorox,1,2093,active,1027,0x1c5b760f133220855340003b43cc9113ec494823
3809,DOS Network,DOS,dos-network,1,268,active,1027,0x0A913beaD80F321E7Ac35285Ee10d9d922659cB7
3810,Ethereum Gold Project,ETGP,ethereum-gold-project,1,1704,active,1027,0xa96f31f1c187c28980176c3a27ba7069f48abde4
3811,IntelliShare,INE,intellishare,1,853,active,1027,0x86e6a4f512b1290c043970b04e0b570d4fc98291
3812,Flexacoin,FXC,flexacoin,1,73,active,1027,0x4a57e687b9126435a9b19e4a802113e266adebde
3813,PTON,PTON,pton,1,1301,active,1027,0x4946583c5b86e01ccd30c71a05617d06e3e73060
3814,Celer Network,CELR,celer-network,1,167,active,1027,0x4f9254c83eb525f9fcf346490bbb3ed28a81c667
3815,Eterbase Utility Token,XBASE,eterbase-utility-token,1,965,active,1839,XBASE-CD2
3816,Verasity,VRA,verasity,1,736,active,,
3817,Solareum,SLRM,solareum,0,null,inactive,1027,0x56ee8c9bd1d445a3324ad83e86d8be309db8f85d
